step	loss_value
0	1.0952876806259155
1	1.06369149684906
2	1.0327054262161255
3	1.002327561378479
4	0.9725593328475952
5	0.9434014558792114
6	0.9148534536361694
7	0.8869133591651917
8	0.8595797419548035
9	0.8328525424003601
10	0.8067275285720825
11	0.7812010049819946
12	0.7222915887832642
13	31.998558044433594
14	26.835708618164062
15	21.2937068939209
16	15.724349021911621
17	18.104745864868164
18	12.15379810333252
19	8.585083961486816
20	11.35122013092041
21	7.392436504364014
22	11.3356351852417
23	9.744693756103516
24	11.315611839294434
25	8.154720306396484
26	11.316570281982422
27	14.863788604736328
28	9.328023910522461
29	14.831186294555664
30	12.844494819641113
31	13.22603988647461
32	13.225112915039062
33	12.057748794555664
34	12.815561294555664
35	13.58774471282959
36	13.997017860412598
37	15.522222518920898
38	12.360613822937012
39	13.147364616394043
40	10.37314510345459
41	11.943122863769531
42	8.047429084777832
43	8.44611930847168
44	7.672506332397461
45	6.470991611480713
46	9.591378211975098
47	8.0355224609375
48	9.199556350708008
49	8.761157989501953
50	6.48695182800293
51	8.799541473388672
52	6.485825538635254
53	8.384681701660156
54	9.164294242858887
55	10.71243667602539
56	12.201377868652344
57	10.676544189453125
58	8.761941909790039
59	9.130584716796875
60	6.4802350997924805
61	6.842978477478027
62	8.762826919555664
63	10.689022064208984
64	13.02686882019043
65	8.744991302490234
66	14.556304931640625
67	10.838790893554688
68	14.574456214904785
69	13.84196949005127
70	12.657358169555664
71	13.432662963867188
72	11.05720043182373
73	14.148937225341797
74	12.179349899291992
75	11.454187393188477
76	11.45627212524414
77	13.770170211791992
78	12.557022094726562
79	10.26247787475586
80	7.9114813804626465
81	10.682287216186523
82	7.570343494415283
83	11.472545623779297
84	10.612459182739258
85	7.205103397369385
86	9.808984756469727
87	12.89431381225586
88	10.535257339477539
89	11.718546867370605
90	11.711155891418457
91	13.617683410644531
92	9.922048568725586
93	14.632499694824219
94	12.839468002319336
95	13.119223594665527
96	13.21657657623291
97	14.00363826751709
98	13.200186729431152
99	13.255677223205566
